id;nom;prenom;titre;numero_document;telephone
1;toc-toc via;touchant fourbe;lâche ouch;paf au point que athlète;+33 647211588
2;fourbe bien que de façon à ce que;mairie développer oups;jusqu’à ce que main-d’œuvre;de façon à maintenant trembler;+33 341058419
3;soudain paf;chef bof zzzz;loufoque comme jusqu’à ce que;après sage;+33 734640568
4;après clientèle main-d’œuvre;cot cot redouter;à la merci en dedans de davantage;comment bzzz quitte à;0230694265
5;auprès de;suivant copier;si concurrence;cot cot fonctionnaire;+33 771331515
6;rectorat avant assez;effrayer pourvu que glouglou;comment hi premièrement;payer autour;+33 614631868
7;aïe;actionnaire favoriser semer;avare équipe de recherche;pendant que;0234893787
8;parce que en en face de;triathlète certes;entreprendre;touriste smack derechef;0775104499
9;aux environs de extra;jadis;céans charitable;propre vouh;+33 568506167
10;réchauffer;à peu près croâ de façon à;vers de peur que;égoïste oh;0343853306
